group,n,short_query_exact_count,short_query_exact_percent,short_answer_correct_count,short_answer_correct_percent,long_intent_correct_count,long_intent_correct_percent,long_query_exact_count,long_query_exact_percent,long_answer_correct_count,long_answer_correct_percent,query_exact_paired_both_correct,query_exact_paired_short_only,query_exact_paired_long_only,query_exact_paired_both_wrong,query_exact_paired_rescue_percent,query_exact_paired_regression_percent,answer_correct_paired_both_correct,answer_correct_paired_short_only,answer_correct_paired_long_only,answer_correct_paired_both_wrong,answer_correct_paired_rescue_percent,answer_correct_paired_regression_percent,schema_valid_count,schema_valid_percent,retried_examples_count,retried_examples_percent,invalid_output_count,invalid_output_percent,abstention_or_failure_count,abstention_or_failure_percent,retry_calls,invented_entity_count,invented_entity_examples,raw_operation_correct_count,raw_operation_correct_percent
conversational,40,7,17.5,8,20.0,32,80.0,31,77.5,32,80.0,5,2,26,7,78.78787878787878,28.571428571428573,6,2,26,6,81.25,25.0,36,90.0,9,22.5,4,10.0,4,10.0,9,0,0,33,82.5
indirect_compositional,16,1,6.25,2,12.5,11,68.75,11,68.75,11,68.75,1,0,10,5,66.66666666666667,0.0,1,1,10,4,71.42857142857143,50.0,12,75.0,5,31.25,4,25.0,4,25.0,5,4,1,12,75.0
light_saudi,24,3,12.5,3,12.5,18,75.0,17,70.83333333333333,17,70.83333333333333,2,1,15,6,71.42857142857143,33.333333333333336,2,1,15,6,71.42857142857143,33.333333333333336,20,83.33333333333333,6,25.0,4,16.666666666666668,4,16.666666666666668,6,0,0,18,75.0
natural_msa,48,15,31.25,17,35.416666666666664,36,75.0,34,70.83333333333333,35,72.91666666666667,11,4,23,10,69.6969696969697,26.666666666666668,13,4,22,9,70.96774193548387,23.529411764705884,40,83.33333333333333,14,29.166666666666668,8,16.666666666666668,11,22.916666666666668,14,4,2,39,81.25
