scope,group,n,intent_correct,intent_accuracy_percent,query_exact_correct,structured_query_exact_match_percent,answer_correct,end_to_end_accuracy_percent,query_produced,query_produced_percent,abstentions,abstention_percent,reconstructable_n,reconstructable_accuracy_percent
original_validation,original_template,2502,2502,100.0,2500,99.920064,2382,95.203837,2500,99.920064,120,4.796163,2383,99.958036
core_dev,conversational,56,10,17.857143,10,17.857143,11,19.642857,18,32.142857,38,67.857143,56,19.642857
core_dev,indirect_compositional,16,4,25.0,3,18.75,3,18.75,5,31.25,11,68.75,16,18.75
core_dev,light_saudi,40,6,15.0,6,15.0,8,20.0,13,32.5,27,67.5,40,20.0
core_dev,natural_msa,80,23,28.75,21,26.25,22,27.5,28,35.0,52,65.0,80,27.5
core_eval,conversational,40,9,22.5,7,17.5,8,20.0,13,32.5,27,67.5,40,20.0
core_eval,indirect_compositional,16,2,12.5,1,6.25,2,12.5,4,25.0,12,75.0,16,12.5
core_eval,light_saudi,24,3,12.5,3,12.5,3,12.5,7,29.166667,17,70.833333,24,12.5
core_eval,natural_msa,48,16,33.333333,15,31.25,17,35.416667,22,45.833333,26,54.166667,48,35.416667
